task_id,source_split,source_config,text,code_python,test_list,code_typescript,code_typescript_status,code_typescript_attempts,code_typescript_tests_passed,code_typescript_tests_failed,tests_typescript
124,test,sanitized,Write a function to get the angle of a complex number.,"import cmath
def angle_complex(a,b):
  cn=complex(a,b)
  angle=cmath.phase(a+b)
  return angle","[""assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)"", ""assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)"", ""assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)""]","function angle_complex(a: number, b: number): number {
  return Math.atan2(b, a);
}",success,2,3,0,[]
125,test,sanitized,Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,"def find_length(string): 
	n = len(string)
	current_sum = 0
	max_sum = 0
	for i in range(n): 
		current_sum += (1 if string[i] == '0' else -1) 
		if current_sum < 0: 
			current_sum = 0
		max_sum = max(current_sum, max_sum) 
	return max_sum if max_sum else 0","[""assert find_length(\""11000010001\"") == 6"", ""assert find_length(\""10111\"") == 1"", ""assert find_length(\""11011101100101\"") == 2""]","function find_length(string: string): number {
    const n: number = string.length;
    let current_sum: number = 0;
    let max_sum: number = 0;
    
    for (let i = 0; i < n; i++) {
        current_sum += (string[i] === '0' ? 1 : -1);
        if (current_sum < 0) {
            current_sum = 0;
        }
        max_sum = Math.max(current_sum, max_sum);
    }
    
    return max_sum ? max_sum : 0;
}",success,1,3,0,[]
126,test,sanitized,Write a python function to find the sum of common divisors of two given numbers.,"def sum(a,b): 
    sum = 0
    for i in range (1,min(a,b)): 
        if (a % i == 0 and b % i == 0): 
            sum += i 
    return sum","[""assert sum(10,15) == 6"", ""assert sum(100,150) == 93"", ""assert sum(4,6) == 3""]","function sum(a: number, b: number): number {
    let sum = 0;
    for (let i = 1; i < Math.min(a, b); i++) {
        if (a % i === 0 && b % i === 0) {
            sum += i;
        }
    }
    return sum;
}",success,1,3,0,[]
127,test,sanitized,Write a function to multiply two integers.,"def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)","[""assert multiply_int(10,20)==200"", ""assert multiply_int(5,10)==50"", ""assert multiply_int(4,8)==32""]","function multiply_int(x: number, y: number): number {
    if (y < 0) {
        return -multiply_int(x, -y);
    } else if (y === 0) {
        return 0;
    } else if (y === 1) {
        return x;
    } else {
        return x + multiply_int(x, y - 1);
    }
}",success,1,3,0,[]
128,test,sanitized,Write a function to find words that are longer than n characters from a given list of words.,"def long_words(n, str):
    word_len = []
    txt = str.split("" "")
    for x in txt:
        if len(x) > n:
            word_len.append(x)
    return word_len	","[""assert long_words(3,\""python is a programming language\"")==['python','programming','language']"", ""assert long_words(2,\""writing a program\"")==['writing','program']"", ""assert long_words(5,\""sorting list\"")==['sorting']""]","function long_words(n: number, str: string): string[] {
    const word_len: string[] = [];
    const txt: string[] = str.split("" "");
    for (const x of txt) {
        if (x.length > n) {
            word_len.push(x);
        }
    }
    return word_len;
}",success,1,3,0,[]
129,test,sanitized,Write a function to calculate whether the matrix is a magic square.,"def magic_square_test(my_matrix):
    iSize = len(my_matrix[0])
    sum_list = []
    sum_list.extend([sum (lines) for lines in my_matrix])   
    for col in range(iSize):
        sum_list.append(sum(row[col] for row in my_matrix))
    result1 = 0
    for i in range(0,iSize):
        result1 +=my_matrix[i][i]
    sum_list.append(result1)      
    result2 = 0
    for i in range(iSize-1,-1,-1):
        result2 +=my_matrix[i][i]
    sum_list.append(result2)
    if len(set(sum_list))>1:
        return False
    return True","[""assert magic_square_test([[7, 12, 1, 14], [2, 13, 8, 11], [16, 3, 10, 5], [9, 6, 15, 4]])==True"", ""assert magic_square_test([[2, 7, 6], [9, 5, 1], [4, 3, 8]])==True"", ""assert magic_square_test([[2, 7, 6], [9, 5, 1], [4, 3, 7]])==False""]","function magic_square_test(my_matrix: number[][]): boolean {
    const iSize: number = my_matrix[0].length;
    const sum_list: number[] = [];
    
    // Sum of each row
    for (const lines of my_matrix) {
        sum_list.push(lines.reduce((a, b) => a + b, 0));
    }
    
    // Sum of each column
    for (let col = 0; col < iSize; col++) {
        let colSum = 0;
        for (const row of my_matrix) {
            colSum += row[col];
        }
        sum_list.push(colSum);
    }
    
    // Sum of main diagonal
    let result1 = 0;
    for (let i = 0; i < iSize; i++) {
        result1 += my_matrix[i][i];
    }
    sum_list.push(result1);
    
    // Sum of anti-diagonal (note: the Python code has a bug here, it calculates main diagonal again)
    let result2 = 0;
    for (let i = iSize - 1; i >= 0; i--) {
        result2 += my_matrix[i][i];
    }
    sum_list.push(result2);
    
    // Check if all sums are equal
    const uniqueSums = new Set(sum_list);
    if (uniqueSums.size > 1) {
        return false;
    }
    return true;
}",success,1,3,0,[]
130,test,sanitized,Write a function to find the item with maximum frequency in a given list.,"from collections import defaultdict
def max_occurrences(nums):
    dict = defaultdict(int)
    for i in nums:
        dict[i] += 1
    result = max(dict.items(), key=lambda x: x[1]) 
    return result[0]","[""assert max_occurrences([2,3,8,4,7,9,8,2,6,5,1,6,1,2,3,2,4,6,9,1,2])==2"", ""assert max_occurrences([2,3,8,4,7,9,8,7,9,15,14,10,12,13,16,18])==8"", ""assert max_occurrences([10,20,20,30,40,90,80,50,30,20,50,10])==20""]","function max_occurrences<T>(nums: T[]): T {
    const dict = new Map<T, number>();
    
    for (const i of nums) {
        dict.set(i, (dict.get(i) || 0) + 1);
    }
    
    let maxKey: T | undefined;
    let maxCount = -Infinity;
    
    for (const [key, count] of dict.entries()) {
        if (count > maxCount) {
            maxCount = count;
            maxKey = key;
        }
    }
    
    return maxKey as T;
}",success,1,3,0,[]
131,test,sanitized,Write a python function to reverse only the vowels of a given string (where y is not a vowel).,"def reverse_vowels(str1):
	vowels = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			vowels += char
	result_string = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			result_string += vowels[-1]
			vowels = vowels[:-1]
		else:
			result_string += char
	return result_string","[""assert reverse_vowels(\""Python\"") == \""Python\"""", ""assert reverse_vowels(\""USA\"") == \""ASU\"""", ""assert reverse_vowels(\""ab\"") == \""ab\""""]","function reverse_vowels(str1: string): string {
    const vowelSet = ""aeiouAEIOU"";
    let vowels = """";
    
    for (const char of str1) {
        if (vowelSet.includes(char)) {
            vowels += char;
        }
    }
    
    let result_string = """";
    for (const char of str1) {
        if (vowelSet.includes(char)) {
            result_string += vowels[vowels.length - 1];
            vowels = vowels.slice(0, -1);
        } else {
            result_string += char;
        }
    }
    
    return result_string;
}",success,1,3,0,[]
132,test,sanitized,Write a function to convert a tuple to a string.,"def tup_string(tup1):
  str =  ''.join(tup1)
  return str","[""assert tup_string(('e', 'x', 'e', 'r', 'c', 'i', 's', 'e', 's'))==(\""exercises\"")"", ""assert tup_string(('p','y','t','h','o','n'))==(\""python\"")"", ""assert tup_string(('p','r','o','g','r','a','m'))==(\""program\"")""]","function tup_string(tup1: string[]): string {
  const str = tup1.join('');
  return str;
}",success,1,3,0,[]
133,test,sanitized,Write a function to calculate the sum of the negative numbers of a given list of numbers.,"def sum_negativenum(nums):
  sum_negativenum = list(filter(lambda nums:nums<0,nums))
  return sum(sum_negativenum)","[""assert sum_negativenum([2, 4, -6, -9, 11, -12, 14, -5, 17])==-32"", ""assert sum_negativenum([10,15,-14,13,-18,12,-20])==-52"", ""assert sum_negativenum([19, -65, 57, 39, 152,-639, 121, 44, 90, -190])==-894""]","function sum_negativenum(nums: number[]): number {
  const negativeNums = nums.filter(num => num < 0);
  return negativeNums.reduce((sum, num) => sum + num, 0);
}",success,1,3,0,[]
135,test,sanitized,Write a function to find the nth hexagonal number.,"def hexagonal_num(n): 
	return n*(2*n - 1) ","[""assert hexagonal_num(10) == 190"", ""assert hexagonal_num(5) == 45"", ""assert hexagonal_num(7) == 91""]","function hexagonal_num(n: number): number {
    return n * (2 * n - 1);
}",success,1,3,0,[]
137,test,sanitized,Write a function to find the ratio of zeroes to non-zeroes in an array of integers.,"from array import array
def zero_count(nums):
    n = len(nums)
    n1 = 0
    for x in nums:
        if x == 0:
            n1 += 1
        else:
          None
    return n1/(n-n1)","[""assert math.isclose(zero_count([0, 1, 2, -1, -5, 6, 0, -3, -2, 3, 4, 6, 8]), 0.181818, rel_tol=0.001)"", ""assert math.isclose(zero_count([2, 1, 2, -1, -5, 6, 4, -3, -2, 3, 4, 6, 8]), 0.00, rel_tol=0.001)"", ""assert math.isclose(zero_count([2, 4, -6, -9, 11, -12, 14, -5, 17]), 0.00, rel_tol=0.001)""]","function zero_count(nums: number[]): number {
    const n = nums.length;
    let n1 = 0;
    for (const x of nums) {
        if (x === 0) {
            n1 += 1;
        }
    }
    return n1 / (n - n1);
}",success,1,3,0,[]
138,test,sanitized,Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.,"def is_Sum_Of_Powers_Of_Two(n): 
    if (n % 2 == 1): 
        return False
    else: 
        return True","[""assert is_Sum_Of_Powers_Of_Two(10) == True"", ""assert is_Sum_Of_Powers_Of_Two(7) == False"", ""assert is_Sum_Of_Powers_Of_Two(14) == True""]","function is_Sum_Of_Powers_Of_Two(n: number): boolean {
    if (n % 2 === 1) {
        return false;
    } else {
        return true;
    }
}",success,1,3,0,[]
139,test,sanitized,Write a function to find the circumference of a circle.,"def circle_circumference(r):
  perimeter=2*3.1415*r
  return perimeter","[""assert math.isclose(circle_circumference(10), 62.830000000000005, rel_tol=0.001)"", ""assert math.isclose(circle_circumference(5), 31.415000000000003, rel_tol=0.001)"", ""assert math.isclose(circle_circumference(4), 25.132, rel_tol=0.001)""]","function circle_circumference(r: number): number {
  const perimeter = 2 * 3.1415 * r;
  return perimeter;
}",success,1,3,0,[]
140,test,sanitized,Write a function to flatten the list of lists into a single set of numbers.,"def extract_singly(test_list):
  res = []
  temp = set()
  for inner in test_list:
    for ele in inner:
      if not ele in temp:
        temp.add(ele)
        res.append(ele)
  return (res) ","[""assert set(extract_singly([(3, 4, 5), (4, 5, 7), (1, 4)])) == set([3, 4, 5, 7, 1])"", ""assert set(extract_singly([(1, 2, 3), (4, 2, 3), (7, 8)])) == set([1, 2, 3, 4, 7, 8])"", ""assert set(extract_singly([(7, 8, 9), (10, 11, 12), (10, 11)])) == set([7, 8, 9, 10, 11, 12])""]","function extract_singly(test_list: number[][]): number[] {
  const res: number[] = [];
  const temp: Set<number> = new Set();
  for (const inner of test_list) {
    for (const ele of inner) {
      if (!temp.has(ele)) {
        temp.add(ele);
        res.push(ele);
      }
    }
  }
  return res;
}",success,1,3,0,[]
141,test,sanitized,Write a function to sort a list of elements.,"def pancake_sort(nums):
    arr_len = len(nums)
    while arr_len > 1:
        mi = nums.index(max(nums[0:arr_len]))
        nums = nums[mi::-1] + nums[mi+1:len(nums)]
        nums = nums[arr_len-1::-1] + nums[arr_len:len(nums)]
        arr_len -= 1
    return nums","[""assert pancake_sort([15, 79, 25, 38, 69]) == [15, 25, 38, 69, 79]"", ""assert pancake_sort([98, 12, 54, 36, 85]) == [12, 36, 54, 85, 98]"", ""assert pancake_sort([41, 42, 32, 12, 23]) == [12, 23, 32, 41, 42]""]","function pancake_sort(nums: number[]): number[] {
    let arr = [...nums];
    let arr_len = arr.length;
    
    while (arr_len > 1) {
        const subArray = arr.slice(0, arr_len);
        const maxVal = Math.max(...subArray);
        const mi = subArray.indexOf(maxVal);
        
        arr = [...arr.slice(0, mi + 1).reverse(), ...arr.slice(mi + 1)];
        arr = [...arr.slice(0, arr_len).reverse(), ...arr.slice(arr_len)];
        
        arr_len -= 1;
    }
    
    return arr;
}",success,1,3,0,[]
142,test,sanitized,Write a function to count number items that are identical in the same position of three given lists.,"def count_samepair(list1,list2,list3):
    result = sum(m == n == o for m, n, o in zip(list1,list2,list3))
    return result","[""assert count_samepair([1,2,3,4,5,6,7,8],[2,2,3,1,2,6,7,9],[2,1,3,1,2,6,7,9])==3"", ""assert count_samepair([1,2,3,4,5,6,7,8],[2,2,3,1,2,6,7,8],[2,1,3,1,2,6,7,8])==4"", ""assert count_samepair([1,2,3,4,2,6,7,8],[2,2,3,1,2,6,7,8],[2,1,3,1,2,6,7,8])==5""]","function count_samepair<T>(list1: T[], list2: T[], list3: T[]): number {
    const minLength = Math.min(list1.length, list2.length, list3.length);
    let result = 0;
    
    for (let i = 0; i < minLength; i++) {
        if (list1[i] === list2[i] && list2[i] === list3[i]) {
            result++;
        }
    }
    
    return result;
}",success,1,3,0,[]
143,test,sanitized,Write a function to find number of lists present in the given tuple.,"def find_lists(Input): 
	if isinstance(Input, list): 
		return 1
	else: 
		return len(Input) ","[""assert find_lists(([1, 2, 3, 4], [5, 6, 7, 8])) == 2"", ""assert find_lists(([1, 2], [3, 4], [5, 6]))  == 3"", ""assert find_lists(([9, 8, 7, 6, 5, 4, 3, 2, 1])) == 1""]","function find_lists(Input: unknown[] | unknown): number {
    if (Array.isArray(Input) && !Array.isArray(Input[0])) {
        return 1;
    } else if (Array.isArray(Input)) {
        return Input.length;
    }
    return 0;
}",success,1,3,0,[]
145,test,sanitized,Write a python function to find the maximum difference between any two elements in a given array.,"def max_Abs_Diff(arr): 
    n = len(arr)
    minEle = arr[0] 
    maxEle = arr[0] 
    for i in range(1, n): 
        minEle = min(minEle,arr[i]) 
        maxEle = max(maxEle,arr[i]) 
    return (maxEle - minEle) ","[""assert max_Abs_Diff((2,1,5,3)) == 4"", ""assert max_Abs_Diff((9,3,2,5,1)) == 8"", ""assert max_Abs_Diff((3,2,1)) == 2""]","function max_Abs_Diff(arr: number[]): number {
    const n = arr.length;
    let minEle = arr[0];
    let maxEle = arr[0];
    for (let i = 1; i < n; i++) {
        minEle = Math.min(minEle, arr[i]);
        maxEle = Math.max(maxEle, arr[i]);
    }
    return maxEle - minEle;
}",success,1,3,0,[]
160,test,sanitized,"Write a function that returns integers x and y that satisfy ax + by = n as a tuple, or return None if no solution exists.","def find_solution(a, b, n):
	i = 0
	while i * a <= n:
		if (n - (i * a)) % b == 0: 
			return (i, (n - (i * a)) // b)
		i = i + 1
	return None","[""assert find_solution(2, 3, 7) == (2, 1)"", ""assert find_solution(4, 2, 7) == None"", ""assert find_solution(1, 13, 17) == (4, 1)""]","function find_solution(a: number, b: number, n: number): [number, number] | null {
    let i = 0;
    while (i * a <= n) {
        if ((n - (i * a)) % b === 0) {
            return [i, Math.floor((n - (i * a)) / b)];
        }
        i = i + 1;
    }
    return null;
}",success,1,3,0,[]
161,test,sanitized,Write a function to remove all elements from a given list present in another list.,"def remove_elements(list1, list2):
    result = [x for x in list1 if x not in list2]
    return result","[""assert remove_elements([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [2, 4, 6, 8]) == [1, 3, 5, 7, 9, 10]"", ""assert remove_elements([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [1, 3, 5, 7]) == [2, 4, 6, 8, 9, 10]"", ""assert remove_elements([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [5, 7]) == [1, 2, 3, 4, 6, 8, 9, 10]""]","function remove_elements<T>(list1: T[], list2: T[]): T[] {
    const result = list1.filter(x => !list2.includes(x));
    return result;
}",success,1,3,0,[]
162,test,sanitized,"Write a function to calculate the sum (n - 2*i) from i=0 to n // 2, for instance n + (n-2) + (n-4)... (until n-x =< 0).","def sum_series(n):
  if n < 1:
    return 0
  else:
    return n + sum_series(n - 2)","[""assert sum_series(6) == 12"", ""assert sum_series(10) == 30"", ""assert sum_series(9) == 25""]","function sum_series(n: number): number {
  if (n < 1) {
    return 0;
  } else {
    return n + sum_series(n - 2);
  }
}",success,1,3,0,[]
163,test,sanitized,Write a function to calculate the area of a regular polygon given the length and number of its sides.,"from math import tan, pi
def area_polygon(s, l):
  area = s * (l ** 2) / (4 * tan(pi / s))
  return area","[""assert math.isclose(area_polygon(4, 20), 400., rel_tol=0.001)"", ""assert math.isclose(area_polygon(10, 15), 1731.197, rel_tol=0.001)"", ""assert math.isclose(area_polygon(9, 7), 302.909, rel_tol=0.001)""]","function area_polygon(s: number, l: number): number {
  const area = s * (l ** 2) / (4 * Math.tan(Math.PI / s));
  return area;
}",success,1,3,0,[]
164,test,sanitized,Write a function to determine if the sum of the divisors of two integers are the same.,"import math 
def div_sum(n): 
  total = 1
  i = 2

  while i * i <= n:
    if (n % i == 0):
      total = (total + i + math.floor(n / i))
    i += 1

  return total

def are_equivalent(num1, num2): 
    return div_sum(num1) == div_sum(num2); ","[""assert are_equivalent(36, 57) == False"", ""assert are_equivalent(2, 4) == False"", ""assert are_equivalent(23, 47) == True""]","function div_sum(n: number): number {
  let total = 1;
  let i = 2;

  while (i * i <= n) {
    if (n % i === 0) {
      total = total + i + Math.floor(n / i);
    }
    i += 1;
  }

  return total;
}

function are_equivalent(num1: number, num2: number): boolean {
  return div_sum(num1) === div_sum(num2);
}",success,1,3,0,[]
165,test,sanitized,Write a function to count the number of characters in a string that occur at the same position in the string as in the English alphabet (case insensitive).,"def count_char_position(str1): 
    count_chars = 0
    for i in range(len(str1)):
        if ((i == ord(str1[i]) - ord('A')) or 
            (i == ord(str1[i]) - ord('a'))): 
            count_chars += 1
    return count_chars ","[""assert count_char_position(\""xbcefg\"") == 2"", ""assert count_char_position(\""ABcED\"") == 3"", ""assert count_char_position(\""AbgdeF\"") == 5""]","function count_char_position(str1: string): number {
    let count_chars = 0;
    for (let i = 0; i < str1.length; i++) {
        if ((i === str1.charCodeAt(i) - 'A'.charCodeAt(0)) ||
            (i === str1.charCodeAt(i) - 'a'.charCodeAt(0))) {
            count_chars += 1;
        }
    }
    return count_chars;
}",success,1,3,0,[]
166,test,sanitized,Write a function that counts the number of pairs of integers in a list that xor to an even number.,"def find_even_pair(A): 
  count = 0
  for i in range(0, len(A)): 
    for j in range(i+1, len(A)): 
        if ((A[i] ^ A[j]) % 2 == 0): 
          count += 1

  return count","[""assert find_even_pair([5, 4, 7, 2, 1]) == 4"", ""assert find_even_pair([7, 2, 8, 1, 0, 5, 11]) == 9"", ""assert find_even_pair([1, 2, 3]) == 1""]","function find_even_pair(A: number[]): number {
  let count = 0;
  for (let i = 0; i < A.length; i++) {
    for (let j = i + 1; j < A.length; j++) {
      if ((A[i] ^ A[j]) % 2 === 0) {
        count += 1;
      }
    }
  }
  return count;
}",success,1,3,0,[]
167,test,sanitized,Write a python function to find the smallest power of 2 greater than or equal to n.,"def next_power_of_2(n): 
  if n and not n & (n - 1):
    return n

  count = 0
  while n != 0: 
    n >>= 1
    count += 1

  return 1 << count; ","[""assert next_power_of_2(0) == 1"", ""assert next_power_of_2(5) == 8"", ""assert next_power_of_2(17) == 32""]","function next_power_of_2(n: number): number {
  if (n && !(n & (n - 1))) {
    return n;
  }

  let count = 0;
  while (n !== 0) {
    n >>= 1;
    count += 1;
  }

  return 1 << count;
}",success,1,3,0,[]
168,test,sanitized,Write a function to count the number of occurrences of a number in a given list.,"def frequency(a,x): 
    count = 0  
    for i in a: 
      if i == x: 
        count += 1

    return count ","[""assert frequency([1,2,3], 4) == 0"", ""assert frequency([1,2,2,3,3,3,4], 3) == 3"", ""assert frequency([0,1,2,3,1,2], 1) == 2""]","function frequency<T>(a: T[], x: T): number {
    let count = 0;
    for (const i of a) {
        if (i === x) {
            count += 1;
        }
    }
    return count;
}",success,1,3,0,[]
170,test,sanitized,Write a function to find the sum of numbers in a list within a range specified by two indices.,"def sum_range_list(list1, m, n):                                                                                                                                                                                                
    sum_range = 0                                                                                                                                                                                                         
    for i in range(m, n+1, 1):                                                                                                                                                                                        
        sum_range += list1[i]                                                                                                                                                                                                  
    return sum_range   ","[""assert sum_range_list([2,1,5,6,8,3,4,9,10,11,8,12], 8, 10) == 29"", ""assert sum_range_list([2,1,5,6,8,3,4,9,10,11,8,12], 5, 7) == 16"", ""assert sum_range_list([2,1,5,6,8,3,4,9,10,11,8,12], 7, 10) == 38""]","function sum_range_list(list1: number[], m: number, n: number): number {
    let sum_range = 0;
    for (let i = m; i <= n; i++) {
        sum_range += list1[i];
    }
    return sum_range;
}",success,1,3,0,[]
171,test,sanitized,Write a function to find the perimeter of a regular pentagon from the length of its sides.,"import math
def perimeter_pentagon(a):
  perimeter=(5*a)
  return perimeter","[""assert perimeter_pentagon(5) == 25"", ""assert perimeter_pentagon(10) == 50"", ""assert perimeter_pentagon(15) == 75""]","function perimeter_pentagon(a: number): number {
  const perimeter = 5 * a;
  return perimeter;
}",success,1,3,0,[]
172,test,sanitized,Write a function to count the number of occurence of the string 'std' in a given string.,"def count_occurance(s):
  count = 0
  for i in range(len(s) - 2):
    if (s[i] == 's' and s[i+1] == 't' and s[i+2] == 'd'):
      count = count + 1
  return count","[""assert count_occurance(\""letstdlenstdporstd\"") == 3"", ""assert count_occurance(\""truststdsolensporsd\"") == 1"", ""assert count_occurance(\""makestdsostdworthit\"") == 2"", ""assert count_occurance(\""stds\"") == 1"", ""assert count_occurance(\""\"") == 0""]","function count_occurance(s: string): number {
  let count: number = 0;
  for (let i = 0; i < s.length - 2; i++) {
    if (s[i] === 's' && s[i + 1] === 't' && s[i + 2] === 'd') {
      count = count + 1;
    }
  }
  return count;
}",success,1,5,0,[]
222,test,sanitized,Write a function to check if all the elements in tuple have same data type or not.,"def check_type(test_tuple):
  res = True
  for ele in test_tuple:
    if not isinstance(ele, type(test_tuple[0])):
      res = False
      break
  return (res) ","[""assert check_type((5, 6, 7, 3, 5, 6) ) == True"", ""assert check_type((1, 2, \""4\"") ) == False"", ""assert check_type((3, 2, 1, 4, 5) ) == True""]","function check_type(test_tuple: unknown[]): boolean {
  if (test_tuple.length === 0) {
    return true;
  }
  
  const firstType = typeof test_tuple[0];
  const firstIsArray = Array.isArray(test_tuple[0]);
  const firstIsNull = test_tuple[0] === null;
  
  for (const ele of test_tuple) {
    const eleType = typeof ele;
    const eleIsArray = Array.isArray(ele);
    const eleIsNull = ele === null;
    
    // Handle null separately since typeof null === 'object'
    if (firstIsNull !== eleIsNull) {
      return false;
    }
    
    // Handle arrays separately since typeof [] === 'object'
    if (firstIsArray !== eleIsArray) {
      return false;
    }
    
    // Compare basic types
    if (eleType !== firstType) {
      return false;
    }
  }
  
  return true;
}",success,1,3,0,[]
223,test,sanitized,"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)","def is_majority(arr, n, x):
	i = binary_search(arr, 0, n-1, x)
	if i == -1:
		return False
	if ((i + n//2) <= (n -1)) and arr[i + n//2] == x:
		return True
	else:
		return False
def binary_search(arr, low, high, x):
	if high >= low:
		mid = (low + high)//2 
		if (mid == 0 or x > arr[mid-1]) and (arr[mid] == x):
			return mid
		elif x > arr[mid]:
			return binary_search(arr, (mid + 1), high, x)
		else:
			return binary_search(arr, low, (mid -1), x)
	return -1","[""assert is_majority([1, 2, 3, 3, 3, 3, 10], 7, 3) == True"", ""assert is_majority([1, 1, 2, 4, 4, 4, 6, 6], 8, 4) == False"", ""assert is_majority([1, 1, 1, 2, 2], 5, 1) == True"", ""assert is_majority([1, 1, 2, 2], 5, 1) == False""]","function binary_search(arr: number[], low: number, high: number, x: number): number {
    if (high >= low) {
        const mid = Math.floor((low + high) / 2);
        if ((mid === 0 || x > arr[mid - 1]) && (arr[mid] === x)) {
            return mid;
        } else if (x > arr[mid]) {
            return binary_search(arr, mid + 1, high, x);
        } else {
            return binary_search(arr, low, mid - 1, x);
        }
    }
    return -1;
}

function is_majority(arr: number[], n: number, x: number): boolean {
    const i = binary_search(arr, 0, n - 1, x);
    if (i === -1) {
        return false;
    }
    if ((i + Math.floor(n / 2)) <= (n - 1) && arr[i + Math.floor(n / 2)] === x) {
        return true;
    } else {
        return false;
    }
}",success,1,4,0,[]
224,test,sanitized,Write a python function to count the number of set bits (binary digits with value 1) in a given number.,"def count_Set_Bits(n): 
    count = 0
    while (n): 
        count += n & 1
        n >>= 1
    return count ","[""assert count_Set_Bits(2) == 1"", ""assert count_Set_Bits(4) == 1"", ""assert count_Set_Bits(6) == 2""]","function count_Set_Bits(n: number): number {
    let count = 0;
    while (n) {
        count += n & 1;
        n >>= 1;
    }
    return count;
}",success,1,3,0,[]
226,test,sanitized,Write a python function to remove the characters which have odd index values of a given string.,"def odd_values_string(str):
  result = """" 
  for i in range(len(str)):
    if i % 2 == 0:
      result = result + str[i]
  return result","[""assert odd_values_string('abcdef') == 'ace'"", ""assert odd_values_string('python') == 'pto'"", ""assert odd_values_string('data') == 'dt'"", ""assert odd_values_string('lambs') == 'lms'""]","function odd_values_string(str: string): string {
  let result = """";
  for (let i = 0; i < str.length; i++) {
    if (i % 2 === 0) {
      result = result + str[i];
    }
  }
  return result;
}",success,1,4,0,[]
227,test,sanitized,Write a function to find minimum of three numbers.,"def min_of_three(a,b,c): 
      if (a <= b) and (a <= c): 
        smallest = a 
      elif (b <= a) and (b <= c): 
        smallest = b 
      else: 
        smallest = c 
      return smallest ","[""assert min_of_three(10,20,0)==0"", ""assert min_of_three(19,15,18)==15"", ""assert min_of_three(-10,-20,-30)==-30""]","function min_of_three(a: number, b: number, c: number): number {
    let smallest: number;
    if ((a <= b) && (a <= c)) {
        smallest = a;
    } else if ((b <= a) && (b <= c)) {
        smallest = b;
    } else {
        smallest = c;
    }
    return smallest;
}",success,1,3,0,[]
228,test,sanitized,Write a python function to check whether all the bits are unset in the given range or not.,"def all_Bits_Set_In_The_Given_Range(n,l,r):  
    num = (((1 << r) - 1) ^ ((1 << (l - 1)) - 1)) 
    new_num = n & num
    if (new_num == 0): 
        return True
    return False","[""assert all_Bits_Set_In_The_Given_Range(4,1,2) == True"", ""assert all_Bits_Set_In_The_Given_Range(17,2,4) == True"", ""assert all_Bits_Set_In_The_Given_Range(39,4,6) == False""]","function all_Bits_Set_In_The_Given_Range(n: number, l: number, r: number): boolean {
    const num = ((1 << r) - 1) ^ ((1 << (l - 1)) - 1);
    const new_num = n & num;
    if (new_num === 0) {
        return true;
    }
    return false;
}",success,1,3,0,[]
229,test,sanitized,"Write a function that takes in an array and an integer n, and re-arranges the first n elements of the given array so that all negative elements appear before positive ones, and where the relative order among negative and positive elements is preserved.","def re_arrange_array(arr, n):
  j=0
  for i in range(0, n):
    if (arr[i] < 0):
      temp = arr[i]
      arr[i] = arr[j]
      arr[j] = temp
      j = j + 1
  return arr","[""assert re_arrange_array([-1, 2, -3, 4, 5, 6, -7, 8, 9], 9) == [-1, -3, -7, 4, 5, 6, 2, 8, 9]"", ""assert re_arrange_array([12, -14, -26, 13, 15], 5) == [-14, -26, 12, 13, 15]"", ""assert re_arrange_array([10, 24, 36, -42, -39, -78, 85], 7) == [-42, -39, -78, 10, 24, 36, 85]""]","function re_arrange_array(arr: number[], n: number): number[] {
  let j = 0;
  for (let i = 0; i < n; i++) {
    if (arr[i] < 0) {
      const temp = arr[i];
      arr[i] = arr[j];
      arr[j] = temp;
      j = j + 1;
    }
  }
  return arr;
}",success,1,3,0,[]
230,test,sanitized,"Write a function that takes in a string and character, replaces blank spaces in the string with the character, and returns the string.","def replace_blank(str1,char):
 str2 = str1.replace(' ', char)
 return str2","[""assert replace_blank(\""hello people\"",'@')==(\""hello@people\"")"", ""assert replace_blank(\""python program language\"",'$')==(\""python$program$language\"")"", ""assert replace_blank(\""blank space\"",\""-\"")==(\""blank-space\"")""]","function replace_blank(str1: string, char: string): string {
    const str2 = str1.split(' ').join(char);
    return str2;
}",success,1,3,0,[]
