task_id,pair_num,prompt,code
68,4,"Using Python, implement a function that examines an array and identifies if it maintains monotonicity.","def is_Monotonic(A): 
    # Handle trivially monotonic cases: empty or single-element arrays
    if len(A) <= 1:
        return True
    
    # Use reduce-style approach to track overall direction via accumulated product
    direction = 0
    
    # Iterate through array using enumerate to access consecutive pairs
    for i in range(len(A) - 1):
        # Calculate the difference between adjacent elements
        diff = A[i + 1] - A[i]
        
        # Skip equal consecutive elements as they don't determine direction
        if diff == 0:
            continue
        
        # Normalize difference to -1 or 1 to represent direction
        current_direction = 1 if diff > 0 else -1
        
        # First non-zero difference establishes the expected direction
        if direction == 0:
            direction = current_direction
        # Subsequent directions must match the established direction
        elif direction != current_direction:
            # Direction reversal detected, array is not monotonic
            return False
    
    # All direction changes (if any) were consistent, confirming monotonicity
    return True"
68,5,A Python function needs to be written that takes an array as input and evaluates whether it is monotonic.,"def is_Monotonic(A): 
    # Leverage min/max comparison to determine if array equals its sorted version
    if len(A) <= 1:
        # Single element or empty arrays are inherently monotonic
        return True
    
    # Extract first and last elements to determine potential monotonic direction
    first_elem = A[0]
    last_elem = A[-1]
    
    # Determine which sorted order to check based on endpoint comparison
    if first_elem <= last_elem:
        # Endpoints suggest non-decreasing order, verify each step follows this
        prev = A[0]
        # Walk through array checking non-decreasing constraint
        for curr in A[1:]:
            # Violation occurs when we find a decrease
            if curr < prev:
                # Still might be monotonically decreasing, need to check that too
                break
            # Update previous element for next comparison
            prev = curr
        else:
            # Loop completed without break, confirming non-decreasing order
            return True
    
    # Check for non-increasing (monotonically decreasing) sequence
    prev = A[0]
    # Traverse array validating each pair maintains non-increasing property
    for curr in A[1:]:
        # Any increase violates non-increasing requirement
        if curr > prev:
            # Array fails both monotonic tests
            return False
        # Advance previous marker to current element
        prev = curr
    
    # Survived all comparisons in non-increasing check
    return True"
69,1,Write a function to check whether a list contains the given sublist or not.,"def is_sublist(l, s):
    # Handle empty sublist case - empty list is always a sublist
    if not s:
        return True
    # Get the length of the main list for boundary checking
    len_l = len(l)
    # Get the length of the sublist to know how many elements to match
    len_s = len(s)
    # If sublist is longer than main list, it cannot be contained
    if len_s > len_l:
        return False
    # Calculate the last valid starting position for comparison
    max_start = len_l - len_s
    # Iterate through all possible starting positions in main list
    for start in range(max_start + 1):
        # Extract a slice of the same length as sublist starting at current position
        window = l[start:start + len_s]
        # Compare the extracted window directly with the sublist
        if window == s:
            # Found a match, return True immediately
            return True
    # No matching window found after checking all positions
    return False"
69,2,Create a function that determines if a specified sublist exists within a given list.,"def is_sublist(l, s):
    # Early return for empty sublist - always considered present
    if len(s) == 0:
        return True
    # Impossible for longer sublist to fit within shorter main list
    if len(s) > len(l):
        return False
    # Convert sublist to string representation for pattern matching approach
    s_str = str(s)
    # Determine how many consecutive elements we need to check
    sublist_len = len(s)
    # Calculate the number of possible windows to examine
    num_windows = len(l) - sublist_len + 1
    # Use generator expression with any() for short-circuit evaluation
    return any(
        # Compare string representation of current window slice with target
        str(l[i:i + sublist_len]) == s_str
        # Generate all valid starting indices for windows
        for i in range(num_windows)
    )"
69,3,Implement a function to verify whether a particular sublist is present inside a list.,"def is_sublist(l, s):
    # Handle the trivial case where an empty sublist is always contained
    if not s:
        return True
    # Store the first element of sublist for quick candidate position identification
    first_elem = s[0]
    # Precompute lengths to avoid repeated len() calls
    len_s = len(s)
    len_l = len(l)
    # Sublist cannot fit if it's longer than the main list
    if len_s > len_l:
        return False
    # Find all indices in main list where the first element of sublist appears
    candidate_indices = [i for i in range(len_l - len_s + 1) if l[i] == first_elem]
    # Iterate only through promising starting positions
    for idx in candidate_indices:
        # Use all() with zip to compare elements pairwise without explicit loop
        matched = all(l[idx + j] == s[j] for j in range(len_s))
        # Return immediately upon finding first complete match
        if matched:
            return True
    # Exhausted all candidate positions without finding a match
    return False"
69,4,Does the list contain the provided sublist? Develop a function that answers this question.,"def is_sublist(l, s):
    # Empty sublist is universally present in any list
    if s == []:
        return True
    # Cache sublist length to minimize repeated calculations
    s_len = len(s)
    # Cache main list length for boundary calculations
    l_len = len(l)
    # A longer sublist cannot possibly be contained within shorter list
    if s_len > l_len:
        return False
    # Use recursive helper to search from each valid starting position
    def check_at_position(pos):
        # Base case: exceeded valid starting positions, sublist not found
        if pos > l_len - s_len:
            return False
        # Delegate element-by-element matching to separate recursive function
        if match_elements(pos, 0):
            return True
        # Recurse to check next starting position
        return check_at_position(pos + 1)
    # Recursive function to verify all elements match starting at given offset
    def match_elements(list_pos, sub_pos):
        # Successfully matched all sublist elements
        if sub_pos == s_len:
            return True
        # Current element mismatch terminates this path
        if l[list_pos] != s[sub_pos]:
            return False
        # Advance both pointers to compare next pair of elements
        return match_elements(list_pos + 1, sub_pos + 1)
    # Initiate recursive search starting from position zero
    return check_at_position(0)"
69,5,A function should be constructed that checks for the presence of a given sublist within a list and returns the result.,"def is_sublist(l, s):
    # Treat empty sublist as trivially present in any list
    if not s:
        return True
    # Store dimensions for bounds checking and iteration limits
    main_len = len(l)
    sub_len = len(s)
    # Reject impossible case where sublist exceeds main list size
    if sub_len > main_len:
        return False
    # Compute the rightmost valid alignment position for sublist
    last_valid_start = main_len - sub_len
    # Initialize search pointer at beginning of main list
    position = 0
    # Continue searching while valid starting positions remain
    while position <= last_valid_start:
        # Extract candidate window using slice notation for comparison
        candidate = l[position:position + sub_len]
        # Leverage Python's built-in list equality for element-wise comparison
        if candidate == s:
            # Early termination upon discovering first valid match
            return True
        # Advance to next potential alignment position
        position += 1
    # Signal failure after exhausting all alignment possibilities
    return False"
70,1,Create a function that determines if every tuple in a given collection has the same length.,"# Define the main function that checks if all tuples have equal length
def find_equal_tuple(Input):
    # Handle edge case where input list is empty - considered equal by convention
    if not Input:
        return True
    # Use set comprehension to collect all unique tuple lengths
    lengths = {len(t) for t in Input}
    # If all tuples have same length, the set will contain exactly one element
    return len(lengths) == 1

# Define wrapper function that calls the main logic function
def get_equal(Input):
    # Directly return the boolean result from find_equal_tuple
    return find_equal_tuple(Input)"
70,2,Implement a solution to check whether all tuples provided as input share an identical number of elements.,"# Define the main function to check tuple length equality
def find_equal_tuple(Input):
    # Return True immediately for empty input - no tuples means trivially equal
    if not Input:
        return True
    # Extract the length of the first tuple as our reference baseline
    reference_length = len(Input[0])
    # Use all() with generator expression - short-circuits on first mismatch
    return all(len(t) == reference_length for t in Input)

# Define the wrapper function as required by the test interface
def get_equal(Input):
    # Delegate to the main logic function and return its boolean result
    return find_equal_tuple(Input)"
70,3,"Given a set of tuples, write a function that returns true only when each tuple contains the same number of items.","# Define the main function using map and reduce-style logic
def find_equal_tuple(Input):
    # Early return True when input is empty - vacuous truth applies
    if not Input:
        return True
    # Transform each tuple into its length using map function
    lengths = list(map(len, Input))
    # Get the first length to compare against all others
    first_len = lengths[0]
    # Count how many lengths match the first one using map with comparison
    matches = list(map(lambda x: x == first_len, lengths))
    # Return True only if every element in matches is True
    return False not in matches

# Define wrapper function required by test cases
def get_equal(Input):
    # Simply forward the call to the main implementation
    return find_equal_tuple(Input)"
70,4,Does each tuple in the input have matching length? Develop a function to verify this condition and return the result.,"# Define the main function using recursion to check tuple lengths
def find_equal_tuple(Input):
    # Base case: empty list or single tuple means all lengths are trivially equal
    if len(Input) <= 1:
        return True
    # Compare first tuple's length with second tuple's length directly
    if len(Input[0]) != len(Input[1]):
        # Mismatch found between first two tuples, return False immediately
        return False
    # Recursive call: check remaining tuples by removing the first element
    return find_equal_tuple(Input[1:])

# Define the wrapper function that interfaces with test cases
def get_equal(Input):
    # Invoke recursive checker and return its boolean result
    return find_equal_tuple(Input)"
70,5,A function is needed that examines multiple tuples and reports whether their sizes are all equal to one another.,"# Define the main function using reduce from functools for a functional approach
def find_equal_tuple(Input):
    # Import reduce function for accumulating comparison results
    from functools import reduce
    # Handle empty input as a special case - return True by convention
    if not Input:
        return True
    # Handle single tuple case - trivially all same length
    if len(Input) == 1:
        return True
    # Create a list of all tuple lengths using list comprehension
    all_lengths = [len(t) for t in Input]
    # Use reduce to check if each consecutive pair of lengths are equal
    # Reduce accumulates True only if all adjacent lengths match
    result = reduce(lambda acc, curr: acc if acc is False else (curr if acc == curr else False), all_lengths)
    # If result is not False, all lengths were equal, so compare against first length
    return result == all_lengths[0]

# Define the wrapper function to match expected test interface
def get_equal(Input):
    # Delegate to main function and return its boolean evaluation
    return find_equal_tuple(Input)"
71,1,Write a function to sort a list of elements.,"def comb_sort(nums):
    # Create a working copy to avoid mutating original list
    result = nums.copy()
    # Get the total number of elements to sort
    n = len(result)
    # Initialize gap to full list length for maximum initial reach
    gap = n
    # Define the optimal shrink factor derived from empirical analysis
    shrink_factor = 1.3
    # Track whether any swaps occurred in current pass
    is_sorted = False
    # Continue until gap is 1 and no swaps happened (list is sorted)
    while not is_sorted:
        # Reduce gap by shrink factor, converting to integer
        gap = int(gap / shrink_factor)
        # Ensure gap never falls below 1 to maintain valid indexing
        if gap < 1:
            gap = 1
        # Assume sorted until proven otherwise by a swap
        is_sorted = True
        # Use for loop with range for cleaner iteration through pairs
        for idx in range(n - gap):
            # Calculate the partner index at current gap distance
            partner_idx = idx + gap
            # Compare current element with its gap-distant partner
            if result[idx] > result[partner_idx]:
                # Perform swap using tuple unpacking syntax
                result[idx], result[partner_idx] = result[partner_idx], result[idx]
                # A swap means we need at least one more pass
                is_sorted = False
        # Only consider fully sorted when gap is 1 and no swaps occurred
        if gap > 1:
            # Force another iteration since large gaps don't guarantee order
            is_sorted = False
    # Return the sorted copy of the input list
    return result"
71,2,Create a function that arranges the items in a list in sorted order.,"def comb_sort(nums):
    # Make a copy to preserve the original list immutability
    arr = list(nums)
    # Cache the length to avoid repeated len() calls
    length = len(arr)
    # Start with maximum possible gap spanning the entire array
    current_gap = length
    # The golden ratio-derived factor that optimizes gap reduction
    reduction_ratio = 1.3
    # Flag to track completion - starts True to enter loop
    needs_more_passes = True
    # Main sorting loop continues while gaps exist or swaps happen
    while current_gap != 1 or needs_more_passes:
        # Calculate new gap using floor division effect from int()
        current_gap = max(1, int(current_gap / reduction_ratio))
        # Reset swap tracker at start of each gap-based pass
        needs_more_passes = False
        # Position tracker starts at beginning of array
        position = 0
        # Iterate through all valid comparison pairs at current gap
        while position + current_gap < length:
            # Define the distant element index for comparison
            distant_pos = position + current_gap
            # Check if current element is larger than distant partner
            if arr[position] > arr[distant_pos]:
                # Swap elements to move larger value toward end
                temp = arr[position]
                # Complete first half of swap by overwriting position
                arr[position] = arr[distant_pos]
                # Complete second half of swap using stored value
                arr[distant_pos] = temp
                # Record that a swap occurred requiring potential repass
                needs_more_passes = True
            # Advance position to compare next pair at same gap
            position = position + 1
    # Return the fully sorted array copy
    return arr"
71,3,Implement a sorting function that takes a list of elements and orders them appropriately.,"def comb_sort(nums):
    # Duplicate input to work on a fresh copy without side effects
    data = nums[:]
    # Determine array bounds for iteration limits
    size = len(data)
    # Gap starts at full size and will progressively shrink
    gap = size
    # Shrink constant based on mathematical analysis of optimal performance
    SHRINK = 1.3
    # Control flag initialized to ensure at least one iteration
    done = False
    # Outer loop runs until sorted with gap=1 and no swaps detected
    while not done:
        # Compute next gap value with integer truncation
        gap = int(gap / SHRINK)
        # Clamp gap to minimum of 1 to prevent zero-step comparisons
        gap = 1 if gap < 1 else gap
        # Assume this pass will complete the sort successfully
        done = True
        # Generate all valid starting indices for gap-based comparisons
        indices = range(size - gap)
        # Process each index using functional-style iteration
        for i in indices:
            # Compute the index of the element gap positions ahead
            j = i + gap
            # Test if adjacent-at-gap elements are out of order
            if data[i] > data[j]:
                # Exchange values using Python's parallel assignment
                data[i], data[j] = data[j], data[i]
                # Mark as incomplete since a swap means more work needed
                done = False
        # Override done flag when gap exceeds 1 since fine-tuning still required
        done = done and (gap == 1)
    # Deliver the sorted sequence back to caller
    return data"
71,4,Your task is to develop a function capable of sorting elements within a given list.,"def comb_sort(nums):
    # Use slice assignment to create independent working copy
    sorted_list = nums[:]
    # Store length once to optimize repeated boundary checks
    n = len(sorted_list)
    # Initialize gap to span entire list for broadest initial comparisons
    gap = n
    # Empirically proven optimal shrink factor for comb sort efficiency
    shrink = 1.3
    # Sentinel to detect when sorting achieves stability
    sorting_complete = False
    # Recursive-style loop that continues until convergence criteria met
    while sorting_complete == False:
        # Reduce gap geometrically to progressively refine sorting precision
        gap = int(gap // shrink) if gap > 1 else 1
        # Optimistically assume this iteration will finalize the sort
        sorting_complete = True
        # Track current comparison position starting from list head
        left = 0
        # Calculate rightmost valid left position for gap-based pairing
        limit = n - gap
        # Scan through list comparing elements separated by current gap
        while left < limit:
            # Compute partner index at fixed gap distance from current
            right = left + gap
            # Detect inversion where left element exceeds right element
            if sorted_list[left] > sorted_list[right]:
                # Rectify inversion by swapping the mispositioned elements
                sorted_list[left], sorted_list[right] = sorted_list[right], sorted_list[left]
                # Swap indicates list not yet fully ordered
                sorting_complete = False
            # Advance scanning position by one for next comparison pair
            left += 1
        # Only declare completion when at finest granularity with no swaps
        if gap > 1:
            # Force continuation since coarse gaps miss fine-grained disorder
            sorting_complete = False
    # Yield the fully ordered list as function result
    return sorted_list"
71,5,A function needs to be written that will organize a list by sorting its elements.,"def comb_sort(nums):
    # Create defensive copy using list constructor for isolation
    elements = list(nums)
    # Capture array size upfront to avoid recalculation overhead
    total = len(elements)
    # Early exit for trivial cases where sorting is unnecessary
    if total <= 1:
        return elements
    # Set initial gap to cover maximum element distance in array
    gap = total
    # Define shrink divisor that balances convergence speed and accuracy
    divisor = 1.3
    # Two-condition termination: unit gap reached AND stability achieved
    sorted_flag = False
    gap_is_one = False
    # Master loop implementing dual termination condition
    while not (gap_is_one and sorted_flag):
        # Shrink gap geometrically, simulating exponential decay pattern
        new_gap = gap / divisor
        # Convert floating result to integer for valid array indexing
        gap = int(new_gap)
        # Enforce minimum gap of 1 to ensure adjacent comparisons possible
        if gap <= 0:
            gap = 1
        # Track whether we've reached the finest granularity level
        gap_is_one = (gap == 1)
        # Begin pass assuming array is already in sorted state
        sorted_flag = True
        # Calculate number of comparison pairs for current gap setting
        num_comparisons = total - gap
        # Enumerate through each comparison pair systematically
        comparison_index = 0
        # Sequential traversal of all gap-separated element pairs
        while comparison_index < num_comparisons:
            # First element of current comparison pair
            first = comparison_index
            # Second element located exactly gap positions ahead
            second = comparison_index + gap
            # Detect order violation between gap-separated elements
            out_of_order = elements[first] > elements[second]
            # Conditional swap block to restore proper ordering
            if out_of_order:
                # Temporarily hold first element during swap operation
                hold = elements[first]
                # Move second element into first position
                elements[first] = elements[second]
                # Place held element into second position
                elements[second] = hold
                # Record that array state changed, requiring potential repass
                sorted_flag = False
            # Move to next comparison pair in sequence
            comparison_index += 1
    # Provide sorted result to calling code
    return elements"
72,1,Create a Python function that determines if a given number is expressible as the difference between two perfect squares.,"def dif_Square(n): 
    # A number can be expressed as a^2 - b^2 = (a+b)(a-b)
    # This is possible when n is odd OR n is divisible by 4
    # Check if n leaves remainder 2 when divided by 4 (the only case that fails)
    remainder = n % 4
    # Numbers with remainder 2 mod 4 cannot be written as difference of two squares
    is_not_representable = (remainder == 2)
    # Return True if representable, False otherwise (invert the condition)
    return not is_not_representable"
72,2,Can you implement a function in Python that verifies whether an input number can be written as one square minus another square?,"def dif_Square(n): 
    # Check if n is odd by testing the least significant bit
    is_odd = (n & 1) == 1
    # Check if n is a multiple of 4 using bitwise AND with 3 (binary: 11)
    is_multiple_of_4 = (n & 3) == 0
    # A number is expressible as difference of squares iff it's odd OR divisible by 4
    can_be_expressed = is_odd or is_multiple_of_4
    # Return the boolean result indicating representability
    return can_be_expressed"
72,3,Develop a Python function to assess if it's possible to represent the provided number as a subtraction of two squared values.,"def dif_Square(n): 
    # Use integer division to find which ""group"" of 4 consecutive numbers n falls into
    quotient = n // 4
    # Calculate what the next multiple of 4 after or at n would be
    next_mult_of_4 = quotient * 4
    # Compute how far n is from the previous multiple of 4
    distance_from_mult = n - next_mult_of_4
    # Build a lookup tuple: positions 0,1,3 from mult of 4 are valid, position 2 is not
    validity_map = (True, True, False, True)
    # Index into the map using the remainder to determine representability
    result = validity_map[distance_from_mult]
    # Return whether n can be written as a difference of two squares
    return result"
72,4,"In Python, construct a function that checks if the input value equals the difference obtained when subtracting one square number from another.","def dif_Square(n): 
    # Create a set containing the only invalid remainder when dividing by 4
    invalid_remainders = {2}
    # Compute the remainder of n when divided by 4
    current_remainder = n % 4
    # Check membership in the invalid set to determine if representation is impossible
    is_invalid = current_remainder in invalid_remainders
    # Negate the invalid flag to get whether representation is possible
    is_valid = not is_invalid
    # Return the final determination of representability
    return is_valid"
72,5,A Python function is needed that evaluates whether the specified number can be expressed in the form a² - b² for some integers a and b.,"def dif_Square(n): 
    # Define a lambda that checks if remainder mod 4 equals the forbidden value 2
    check_remainder = lambda x: x % 4
    # Apply the remainder function to get n's position in the cycle of 4
    position_in_cycle = check_remainder(n)
    # Use list comprehension to generate valid positions [0, 1, 3] from range
    valid_positions = [i for i in range(4) if i != 2]
    # Determine representability by checking if position exists in valid list
    representable = position_in_cycle in valid_positions
    # Return boolean indicating if n can be written as a² - b²
    return representable"
74,1,Create a function that verifies if something adheres to the sequence specified in the patterns array.,"def is_samepatterns(colors, patterns):    
    # Early exit if input lengths don't match - can't have valid mapping
    if len(colors) != len(patterns):
        return False    
    # Dictionary to map each pattern element to its corresponding color
    pattern_to_color = {}
    # Dictionary to map each color back to its pattern (ensures bijection)
    color_to_pattern = {}
    # Iterate through both lists simultaneously using zip
    for pattern, color in zip(patterns, colors):
        # Check if we've seen this pattern before
        if pattern in pattern_to_color:
            # Verify the existing mapping matches current color
            if pattern_to_color[pattern] != color:
                return False
        else:
            # First time seeing this pattern, establish the mapping
            pattern_to_color[pattern] = color
        # Check if this color is already mapped to a different pattern
        if color in color_to_pattern:
            # Ensure the color consistently maps to the same pattern
            if color_to_pattern[color] != pattern:
                return False
        else:
            # First time seeing this color, record its pattern mapping
            color_to_pattern[color] = pattern
    # All consistency checks passed - valid isomorphic mapping exists
    return True"
74,2,Implement a function to determine whether the input conforms to the order defined within the patterns array.,"def is_samepatterns(colors, patterns):    
    # Reject inputs with mismatched lengths immediately
    if len(colors) != len(patterns):
        return False    
    # Transform patterns into a normalized index sequence for comparison
    def normalize(sequence):
        # Track first occurrence index of each unique element
        first_occurrence = {}
        # Build list of normalized indices
        normalized = []
        # Counter for assigning new indices to unseen elements
        next_index = 0
        # Process each element in the sequence
        for elem in sequence:
            # Check if element has been encountered before
            if elem not in first_occurrence:
                # Assign a fresh index to this new element
                first_occurrence[elem] = next_index
                # Increment counter for next new element
                next_index += 1
            # Append the normalized index for this element
            normalized.append(first_occurrence[elem])
        # Return the complete normalized representation
        return normalized
    # Generate normalized form for the colors list
    colors_normalized = normalize(colors)
    # Generate normalized form for the patterns list
    patterns_normalized = normalize(patterns)
    # Two sequences follow same pattern iff their normalizations are identical
    return colors_normalized == patterns_normalized"
74,3,Your task is to develop a function that checks for compliance with the sequence outlined in the patterns array.,"def is_samepatterns(colors, patterns):    
    # Immediately reject if the two sequences have different lengths
    if len(colors) != len(patterns):
        return False    
    # Use tuple pairs to create a unique signature for each position
    paired_elements = list(zip(patterns, colors))
    # Extract the set of unique pattern elements encountered
    unique_patterns = set(patterns)
    # Extract the set of unique color elements encountered
    unique_colors = set(colors)
    # Bijection requires equal cardinality of both unique sets
    if len(unique_patterns) != len(unique_colors):
        return False
    # Build a set of unique (pattern, color) pairings from the zipped data
    unique_pairs = set(paired_elements)
    # For a valid bijective mapping, each pattern maps to exactly one color
    # So the number of unique pairs must equal the number of unique patterns
    if len(unique_pairs) != len(unique_patterns):
        return False
    # Extract just the pattern components from the unique pairs
    patterns_in_pairs = set(p for p, c in unique_pairs)
    # Extract just the color components from the unique pairs
    colors_in_pairs = set(c for p, c in unique_pairs)
    # Verify that each pattern appears in exactly one pair (injective from patterns)
    if len(patterns_in_pairs) != len(unique_pairs):
        return False
    # Verify that each color appears in exactly one pair (injective from colors)
    if len(colors_in_pairs) != len(unique_pairs):
        return False
    # All bijection constraints satisfied, the pattern matching is valid
    return True"
74,4,Design a function capable of validating that the given input matches the sequential pattern stored in the patterns array.,"def is_samepatterns(colors, patterns):    
    # Guard clause: sequences must have identical lengths for pattern matching
    if len(colors) != len(patterns):
        return False    
    # Create mapping from pattern to color using dictionary comprehension with index tracking
    pattern_map = {}
    # Create reverse mapping to ensure one-to-one correspondence
    color_map = {}
    # Use enumerate to get both index and value in a single pass
    for idx, (pat, col) in enumerate(zip(patterns, colors)):
        # Retrieve existing color mapping for this pattern, defaulting to current color
        expected_color = pattern_map.setdefault(pat, col)
        # Retrieve existing pattern mapping for this color, defaulting to current pattern
        expected_pattern = color_map.setdefault(col, pat)
        # Verify forward mapping consistency: same pattern must map to same color
        if expected_color != col:
            return False
        # Verify reverse mapping consistency: same color must map to same pattern
        if expected_pattern != pat:
            return False
    # All elements processed without conflict, pattern isomorphism confirmed
    return True"
74,5,A function needs to be written that examines whether the expected sequence from the patterns array is being followed.,"def is_samepatterns(colors, patterns):    
    # Fail fast when input arrays cannot possibly have matching structure
    if len(colors) != len(patterns):
        return False    
    # Group indices by pattern value using a defaultdict-like approach
    from collections import defaultdict
    pattern_groups = defaultdict(list)
    # Also group indices by color value for symmetry verification
    color_groups = defaultdict(list)
    # Single pass to collect all index positions for each unique element
    for i in range(len(patterns)):
        # Record which positions this pattern appears at
        pattern_groups[patterns[i]].append(i)
        # Record which positions this color appears at
        color_groups[colors[i]].append(i)
    # Convert grouped indices to frozensets for hashable comparison
    pattern_index_sets = set()
    # Transform each pattern's index list into an immutable frozenset
    for indices in pattern_groups.values():
        # Frozenset allows us to compare groupings regardless of element identity
        pattern_index_sets.add(frozenset(indices))
    # Repeat the frozenset transformation for color groupings
    color_index_sets = set()
    # Each color's occurrence positions become a comparable frozenset
    for indices in color_groups.values():
        # Add to the collection of color-based index groupings
        color_index_sets.add(frozenset(indices))
    # Two sequences are isomorphic iff they partition indices identically
    # This is a mathematical equivalence: same pattern means same partitioning
    return pattern_index_sets == color_index_sets"
75,1,"Create a function that filters a list of tuples, returning only those where every element is evenly divisible by k.","def find_tuples(test_list, K):
    # Initialize empty list to accumulate valid tuples
    res = []
    # Process each tuple in the input list sequentially
    for sub in test_list:
        # Flag to track if current tuple passes divisibility test
        all_divisible = True
        # Examine each element within the current tuple
        for ele in sub:
            # Check if element fails divisibility by K
            if ele % K != 0:
                # Mark tuple as invalid and exit inner loop early
                all_divisible = False
                break
        # Append tuple to results only if all elements were divisible
        if all_divisible:
            res.append(sub)
    # Return the filtered list of qualifying tuples
    return res"
75,2,"Given a list of tuples and a value k, develop a function to extract all tuples in which each element can be divided by k without a remainder.","def find_tuples(test_list, K):
    # Define helper function that checks if all tuple elements are divisible by K
    def is_valid_tuple(tup):
        # Use reduce-style approach by checking sum of remainders equals zero
        remainder_sum = sum(ele % K for ele in tup)
        # If sum of remainders is 0, all elements were divisible
        return remainder_sum == 0
    
    # Apply filter function with our validation predicate to get matching tuples
    filtered_iterator = filter(is_valid_tuple, test_list)
    # Convert the filter iterator object back to a list for return
    res = list(filtered_iterator)
    # Return the list containing only tuples where all elements divide evenly by K
    return res"
75,3,"From a provided list of tuples, identify and return those tuples where k divides all elements completely—implement this as a function.","def find_tuples(test_list, K):
    # Use map to transform each tuple into a (tuple, validity) pair
    def check_tuple(tup):
        # Count how many elements fail the divisibility test
        fail_count = len([e for e in tup if e % K != 0])
        # Tuple is valid only when zero elements fail the test
        return fail_count == 0
    
    # Create a list of boolean validity flags for all tuples using map
    validity_flags = list(map(check_tuple, test_list))
    
    # Zip original tuples with their validity status for paired iteration
    paired_data = zip(test_list, validity_flags)
    
    # Extract only tuples where the paired boolean flag is True
    res = [tup for tup, is_valid in paired_data if is_valid]
    
    # Return filtered list containing only fully divisible tuples
    return res"
75,4,How would you write a function that takes a list of tuples and selects only the ones having all their elements divisible by a given integer k?,"def find_tuples(test_list, K):
    # Recursive helper to verify divisibility of all elements starting at index
    def check_divisible(tup, index):
        # Base case: reached end of tuple, all elements passed
        if index >= len(tup):
            return True
        # Recursive case: current element must be divisible AND rest must pass
        return tup[index] % K == 0 and check_divisible(tup, index + 1)
    
    # Recursive function to process list and build result
    def process_list(lst, idx, accumulator):
        # Base case: no more tuples to examine
        if idx >= len(lst):
            return accumulator
        # Get the current tuple being examined
        current_tuple = lst[idx]
        # Check if current tuple has all elements divisible by K
        if check_divisible(current_tuple, 0):
            # Include this tuple in our growing result list
            accumulator.append(current_tuple)
        # Recurse to handle remaining tuples in the list
        return process_list(lst, idx + 1, accumulator)
    
    # Kick off recursive processing with empty accumulator starting at index 0
    res = process_list(test_list, 0, [])
    # Hand back the accumulated list of valid tuples
    return res"
75,5,Implement a function to scan through tuples in a list and retrieve those where divisibility by k holds true for every single element.,"def find_tuples(test_list, K):
    # Use functools.reduce to implement a functional programming approach
    from functools import reduce
    
    # Define a reducer that multiplies remainders - product is 0 if any remainder is 0
    def all_divisible_check(tup):
        # Convert tuple to list of binary flags: 1 if divisible, 0 otherwise
        divisibility_flags = [1 if elem % K == 0 else 0 for elem in tup]
        # Multiply all flags together - result is 1 only if ALL were divisible
        product = reduce(lambda acc, flag: acc * flag, divisibility_flags, 1)
        # Boolean result: True when product is 1 (all divisible), False otherwise
        return product == 1
    
    # Build result using enumerate to track indices while iterating
    res = []
    # Enumerate provides both index and tuple for potential debugging/extension
    for idx, tup in enumerate(test_list):
        # Invoke our functional checker to determine tuple validity
        is_valid = all_divisible_check(tup)
        # Conditionally extend result list using list concatenation approach
        res = res + ([tup] if is_valid else [])
    
    # Deliver the accumulated valid tuples back to caller
    return res"
77,1,Create a Python function that checks if a given number can be evenly divided by 11.,"def is_Diff(n): 
    # Convert the number to its absolute value to handle negative numbers
    n = abs(n)
    # Convert number to string to access individual digits
    digits = str(n)
    # Initialize accumulator for sum of digits at odd positions (1st, 3rd, 5th...)
    odd_position_sum = 0
    # Initialize accumulator for sum of digits at even positions (2nd, 4th, 6th...)
    even_position_sum = 0
    # Iterate through each digit with its index position
    for index, digit in enumerate(digits):
        # Check if position is odd (0-indexed, so even index means odd position)
        if index % 2 == 0:
            # Add digit value to odd position sum
            odd_position_sum += int(digit)
        # Otherwise it's an even position
        else:
            # Add digit value to even position sum
            even_position_sum += int(digit)
    # Calculate the absolute difference between the two sums
    difference = abs(odd_position_sum - even_position_sum)
    # A number is divisible by 11 if the difference is divisible by 11
    return difference % 11 == 0"
77,2,Implement a function in Python to determine whether 11 is a divisor of an input number.,"def is_Diff(n): 
    # Ensure we work with positive number for consistent processing
    n = abs(n)
    # Use repeated subtraction technique: subtract alternating digits from right
    # This implements the divisibility rule iteratively without converting to string
    while n > 99:
        # Extract the last digit (units place)
        last_digit = n % 10
        # Remove the last digit from the number
        n = n // 10
        # Subtract the extracted digit from remaining number (alternating sign rule)
        n = abs(n - last_digit)
    # After reducing, check if result is in the set of two-digit multiples of 11
    # Including 0, 11, 22, 33, 44, 55, 66, 77, 88, 99
    return n in {0, 11, 22, 33, 44, 55, 66, 77, 88, 99}"
